cp,ne_lon,ne_lat,sw_lon,sw_lat
08271,41.9561178,2.1138047,41.6361178,1.7938047
08758,41.5548177,2.12121,41.2348177,1.80121
17004,42.1396892,2.990487,41.8196892,2.670487
08273,42.0025066,2.1804742,41.6825066,1.8604742
08585,42.2721016,2.3731043,41.9521016,2.0531043
08458,41.8447699,2.550226,41.5247699,2.230226
80233,42.644952,-2.3901115,42.644852,-2.3902115
04545,52.2188128,21.0389744,52.2181994,21.037249
09850,19.4334766,-99.1926075,19.4329497,-99.192952
08692,42.1187071,2.0402726,41.7987071,1.7202726
08849,41.4971031,2.1570431,41.1771031,1.8370431
08650,41.9765849,2.0636303,41.6565849,1.7436303
17401,41.9772768,2.6718989,41.6572768,2.3518989
08733,41.5777846,1.8708306,41.2577846,1.5508306
08184,41.739748,2.3371846,41.419748,2.0171846
08781,41.6942271,1.9305529,41.3742271,1.6105529
08790,41.6028973,2.0248921,41.2828973,1.7048921
08979,40.3415917,-3.8420106,40.3414917,-3.8421106
08228,41.6958843,2.2059238,41.3758843,1.8859238
08508,42.1676668,2.3952814,41.8476668,2.0752814
08182,41.8491276,2.3242482,41.5291276,2.0042482
08560,42.162457,2.4453509,41.842457,2.1253509
17005,42.1334259,2.9713259,41.8134259,2.6513259
08711,41.7674188,1.80507,41.4474188,1.48507
27600,42.9381274,-7.2534054,42.6181274,-7.5734054
43882,41.3520972,1.7643272,41.0320972,1.4443272
17240,41.9916087,3.0600883,41.6716087,2.7400883
08470,41.800877,2.6707188,41.480877,2.3507188
08869,40.5750672,-74.6551328,40.5748735,-74.6555587
08397,41.7847982,2.8469722,41.4647982,2.5269722
17411,41.9387332,2.9424667,41.6187332,2.6224667
08214,41.668032,2.2753605,41.348032,1.9553605
08380,41.8072636,2.9005657,41.4872636,2.5805657
08301,41.6979578,2.6064378,41.3779578,2.2864378
08187,41.800916,2.3918727,41.480916,2.0718727
08798,41.5231851,1.9165313,41.2031851,1.5965313
08280,41.8908049,1.6761789,41.570805,1.3561789
08461,41.8655988,2.5938868,41.5455988,2.2738868
08570,42.2066481,2.4253037,41.8866481,2.1053037
08107,41.6908966,2.3925757,41.3708966,2.0725757
08756,41.5706714,2.126407,41.2506714,1.806407
08571,42.2228918,2.4259489,41.9028918,2.1059489
17300,41.8322865,2.9455606,41.5122865,2.6255606
07712,40.0293316,4.3646148,39.7093316,4.0446148
43580,40.8846577,0.9070564,40.5646577,0.5870564
08640,41.7029577,2.0531881,41.3829577,1.7331881
43830,41.30458,1.5618337,40.98458,1.2418337
43203,41.3207614,1.2677417,41.0007614,0.9477417
25430,41.7081797,0.9848608,41.3881797,0.6648608
08410,41.713912,2.4473212,41.3939121,2.1273212
08253,41.8454726,1.9383026,41.5254726,1.6183026
08788,41.7318336,1.7973718,41.4118336,1.4773718
80826,42.7181873,-1.9355827,42.7180873,-1.9356827
08270,41.9109264,2.0641733,41.5909264,1.7441733
08550,41.9788807,2.392176,41.6588807,2.072176
